title,Manually Entered?,Image,Image Caption,Image Source,Rights Holder,Description,Author,Editor,Translator,Type,Original Language,Copyright Status,Copyright Date
Paper Houses,,paperhouses_002_front.jpg,"Roger Fry, dust jacket of ""Paper Houses""",Bruce Peel Library,Annabel Cole,Another novel by Plomer; later republished as a Penguin paperback.,William Plomer,,,Novel,English,,1929
Notes on English Verse Satire,,6422.jpg,"dust jacket of ""Notes on English Verse Satire""",E.J. Pratt Library,Penguin Random House Archive and Library,Lectures on Literature,Humbert Wolfe,,,Literary Criticism,English,,1929
A Woman of India,,womanindia_002_front.jpg,"dust jacket of ""A Woman of India""",Bruce Peel Library,Penguin Random House Archive and Library,"This biography of Saroj Nalini, founder of the Women's Institute Movement in India was written by her husband and describes her efforts in educating women and supporting women's rights.",G. S. Dutt,,,Biography,English,,1929
Undying Faces,,6282.jpg,"dust jacket of ""Undying Faces""",E.J. Pratt Library,Penguin Random House Archive and Library,"A history of the death mask, this collection contains several illustration plates. A fascinating exploration of the process of making a death mask and of the artifact's social value. The introduction also reflects on the role of the face in demonstrating and communicating personality, and there is a possible source in this book for the ""waxwork figure"" metaphor that Virginia Woolf uses repeatedly in her own writings to describe Victorian biographical subjects. This book was grouped in the 1939 catalogue in 'Art and Music,' presumably because of the illustration plates and because of the attention to technical detail in the making of the masks.",Ernst Benkard,,,History,English,,1929
Nature in English Literature,,natureliterature_002_front.jpg,"dust jacket of ""Nature in English Literature""",Bruce Peel Library,Penguin Random House Archive and Library,Lectures on Literature,Edmund Blunden,,,Literary Criticism,English,,1929
The Foreigner in the Family,,,,,,A family saga novel with a Vanessa Bell dust-jacket.,Wilfrid Benson,,,Novel,English,,1929
The Diary of Montaigne's Journey to Italy in 1580 and 1581,,,,,,"This account of Montaigne's journey to Italy was discovered in manuscript in the 18th century. The book is thought to have been written partly by Montaigne himself and partly dictated to a domestic assistant who acted as his secretary (Forkey 123). The letters contain observations about the living conditions in other parts of Europe and records of his own ailments, which were the main reasons for his travel.",,E. J. Trechmann,E. J. Trechmann,Autobiography,French,,1929
The Open Conspiracy Blue Prints for a World Revolution A Second Version of this faith of a modern man made more explicit and plain,,,,,,"In this revision of a 1928 publication, Wells acknowledges his own vested interest in the subject matter and his personal tone in his writing. He states that the book is ""something between an essay upon the mental and moral drift of the times and a confession of faith.""",H. G. Wells,,,Religion,English,,1930
The Meaning of Sacrifice,,6236.jpg,"dust jacket of ""The Meaning of Sacrifice""",E.J. Pratt Library,Penguin Random House Archive and Library,Psycho-Analytic Library,Roger Money-Kyrle,,,Psychoanalysis,English,,1930
Britain & America,,6247.jpg,"dust jacket of ""Britain & America""",E.J. Pratt Library,Penguin Random House Archive and Library,Merttens Lecture,John W. Graham,,,Politics,English,,1930
Russia To-Day and To-Morrow,,6241.jpg,"front cover of ""Russia To-Day and To-Morrow""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Maurice Dobb,,,Politics,English,,1930
Beneath the Whitewash,,6327.jpg,"front cover of ""Beneath the Whitewash""",E.J. Pratt Library,Penguin Random House Archive and Library,"A critical analysis of the report of the Commission on the Palestine Disturbances of August, 1929",Horace B. Samuel,,,Politics,English,,1930
Deserted House,,DesertedHouse_001.tif,"front cover of ""Deserted House"" ",Bruce Peel Library ,Penguin Random House Archive and Library,Hogarth Living Poets,Dorothy Wellesley,,,Poetry,English,,1930
Cambridge Poetry 1930,,6397.jpg,"dust jacket of ""Cambridge Poetry 1930""",E.J. Pratt Library,Penguin Random House Archive and Library,A second anthology of poetry by Cambridge undergraduates,,John Davenport|Hugh Skyes|Michael Redgrave,,Poetry,English,,1930
St. James's Park and Other Poems,,6316.jpg,"front cover of ""St. James's Park and Other Poems""",E.J. Pratt Library,Penguin Random House Archive and Library,Hogarth Living Poets,F. O. Mann,,,Poetry,English,,1930
A Broadcast Anthology of Modern Poetry,,,,,,Hogarth Living Poets,,Dorothy Wellesley,,Poetry,English,,1930
Dear Judas and Other Poems,,DearJudas_001.tif,"dust jacket of ""Dear Judas and Other Poems"" ",Bruce Peel Library,Penguin Random House Archive and Library,Hogarth Living Poets,Robinson Jeffers,,,Poetry,English,,1930
The Armed Muse Poems,,TheArmedMuse_001.tif,"front cover of ""The Armed Muse"" ",Bruce Peel Library,Penguin Random House Archive and Library,Hogarth Living Poets,Herbert Edward Palmer,,,Poetry,English,,1930
Cavender's House,,6462.jpg,"dust jacket of ""Cavender's House""",E.J. Pratt Library,Penguin Random House Archive and Library,Hogarth Living Poets,Edwin Arlington Robinson,,,Poetry,English,,1930
Stravinsky's Sacrifice to Apollo,,stravinskyssacrifice__002_front.jpg,"dust jacket of ""Stravinsky's Sacrifice to Apollo""",Bruce Peel Library,Penguin Random House Archive and Library,"Description on the dust jacket: ""'This book is the first full-length critical study of Stravinsky's music to appear in England. It deals with the whole of his output during the last twenty years (from The Fire Bird to the Capriccio) in such detail as to provide a complete guide not only for the theatre and concert-goers, but also for wireless, gramophone, and pianola enthusiasts; and it discusses the problems raised by his frequent changes in style. Although by no means laudatory, this study is sufficient answer in itself to Stravinsky's recent complaint in which he says the greater part of criticism directed against me comes from England).""",Eric Walter White,,,Music,English,,1930
Letters to Frederick Tennyson,,6286.jpg,"dust jacket of ""Letters to Frederick Tennyson""",E.J. Pratt Library,Penguin Random House Archive and Library,A slightly unconventional collection of letters in that it contains letters addressed to Tennyson rather than those written by him.,,Hugh J. Schonfield,,Letters,English,,1930
History as Direction,,historydirection_002_front.jpg,"dust jacket of ""History as Direction""",Bruce Peel Library,Penguin Random House Archive and Library,"The dust jacket blurb nicely summarizes the project of the book: ""Starting with a critique of the method and the permanent value of Oswald Spengler's Decline of the West, the author applies Spengler's method of historical study and attempts to determine the main forces influencing and creating the cultural progress of humanity. The book suggests a new method of history teaching and historical.",John S. Hoyland,,,History,English,,1930
The Edwardians,,edwardians__002_front.jpg,"dust jacket of ""The Edwardians""",Bruce Peel Library,Penguin Random House Archive and Library,"Sackville-West's most famous and well-received novel. A numbered and signed limited edition was produced, as well as an enormous (30,000 copy) cheaper run.",Vita Sackville-West,,,Novel,English,,1930
Occupied Territory,,6423.jpg,Trekkie Ritchie,E.J. Pratt Library,Penguin Random House Archive and Library,"A second novel by the Press traveller Alice Ritchie, this time focusing on military life.",Alice Ritchie,,,Novel,English,,1930
On Being Ill,,beingill_002_front.jpg,"Vanessa Bell, dust jacket of ""On Being Ill""",Bruce Peel Library,Henrietta Garnett,"A special signed and limited edition of Woolf's essay, this was a very small run of 125 copies and is a rare find currently.",Virginia Woolf,,,Short Fiction,English,,1930
The Notebook of Malte Laurids Brigge,,notebookmaltelauridisbrigge_002_front.jpg,"dust jacket of ""The Notebook of Malte Laurids Brigge""",Bruce Peel Library,Penguin Random House Archive and Library,"The first of Rilke's prose works to be translated into English, this text is marketed by the Press as an autobiography, despite the fact that some of the particulars would seem to disguise Rilke's identity. The dust jacket nevertheless suggests that Rilke ""thinly veils his own experience under a romantic record of the memories, impressions, and experiences of an impoverished Danish poet living in Paris. A masterpiece of creative art and delicate portraiture, it is also an important psychological document, throwing light on the genius of a great poet, whose work is a bold synthesis of Eastern mysticism and Western art.""",Rainer Maria Rilke,,,Novel,English,,1930
Unholy Memories of the Holy Land,,unholymemories_002_front.jpg,"dust jacket of ""Unholy Memories of the Holy Land""",Bruce Peel Library,Penguin Random House Archive and Library,A provocative book on English foreign policy by a civil servant.,Horace B. Samuel,,,Travel Writing,English,,1930
The Course of English Classicism from the Tudor to the Victorian Age,,englishclassicism_002_front.jpg,"dust jacket of ""The Course of English Classicism from the Tudor to the Victorian Age""",Bruce Peel Library,Penguin Random House Archive and Library,Lectures on Literature,Sherard Vines,,,Literary Criticism,English,,1930
Dawn on Mont Blanc,,6293.jpg,"dust jacket of ""Dawn on Mont Blanc""",E.J. Pratt Library,Penguin Random House Archive and Library,"This novel, ""incidentally the tragedy of an aggravating young man"" who travels to Geneva to work for ""The International Institute of Racial Peace"" and finds himself in a tangled mess of a love affair. Told in a humorous manner, the man manages to be na've and irritating to everyone he encounters, which is especially comical in the cases of his roommate and landlady.",Wilfrid Benson,,,Novel,English,,1930
German Lyric Poetry,,,,,,Lectures on Literature,Norman Macleod,,,Literary Criticism,English,,1930
Drifting Men,,,,,,,R. M. Fox,,,Autobiography,English,,1930
Life of Milton Together with Observations on Paradise Lost,,lifemilton_002_front.jpg,"dust jacket of ""Life of Milton Together with Observations on Paradise Lost""",Bruce Peel Library,Penguin Random House Archive and Library,A fairly conventional combination of biography and literary criticism.,Louis Racine,,,Biography,English,,1930
As You Were,,,,,,A novel about being at home during the war.,Wilfrid Benson,,,Novel,English,,1930
Civilization and Its Discontents,,,,,,Psycho-Analytic Library,Sigmund Freud,,,Psychoanalysis,English,,1930
The Nice Old Man and the Pretty Girl and Other Stories,,niceoldman_002_front.jpg,"dust jacket of ""The Nice Old Man and the Pretty Girl and Other Stories""",Bruce Peel Library,Penguin Random House Archive and Library,"A collection of stories translated from the Italian by the author of The Hoax, this light and jokey set of stories is an introduction to Svevo's interests, which include animals and bumbling protagonists.",Italo Svevo,,,Short Fiction,English,,1930
The Psychology of Clothes,,,,,,Psycho-Analytic Library,J. C. Flugel,,,History,English,,1930
The Art of Dying An Anthology,,6318.jpg,"dust jacket of ""The Art of Dying An Anthology""",E.J. Pratt Library,Penguin Random House Archive and Library,"An anthology of the last words of known and unknown figures, this collection was included in the 1939 Catalogue under 'Biography, Memoir, etc.'",,Francis Birrell|F. L. Lucas,,Biography,English,,1930
Some Religious Elements in English Literature,,religiouselements_002_front.jpg,"dust jacket of ""Some Religious Elements in English Literature""",Bruce Peel Library,Penguin Random House Archive and Library,Lectures on Literature,Rose Macaulay,,,Religion,English,,1931
A Letter to an M. P. on Disarmament,,ALetterToAnMPOnDisarmament_001.tif,"John Banting, front cover of ""A Letter to an M.P. on Disarmament"" ",Bruce Peel Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London",Hogarth Letters,Viscount Cecil,,,Letters,English,,1931
What We Saw in Russia,,6253.jpg,"front cover of ""What We Saw in Russia""",E.J. Pratt Library,Penguin Random House Archive and Library,"Another attempt to provide a clearer view of Russia: ""'It would perhaps be better if everyone who visits Russia to-day would agree not to write anything about it on his or her return. The public could then depend on the thorough and expert reports of such admirable correspondents'' (7)""",Aneurin Bevan|E. J. Strachey|George Strauss,,,Travel Writing,English,,1931
Protection and Free Trade,,ProtectionAndFreeTrade_001.tif,"front cover of ""Protection and Free-Trade"" ",Bruce Peel Library,Penguin Random House Archive and Library,Day to Day Pamphlets,L. M. Fraser,,,Politics,English,,1931
Ulster To-Day and To-Morrow,,6276.jpg,"front cover of ""Ulster To-Day and To-Morrow""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Denis Ireland,,,Politics,English,,1931
Unemployment Its Causes and Their Remedies,,UnemploymentItsCausesAndTheirRemedies_001.tif,"front cover of ""Unemployment Its Causes and Their Remedies"" ",Bruce Peel Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Rupert Trouton,,,Politics,English,,1931
A Collection of Poems (Written between the ages of 14 and 17),,,,,,Hogarth Living Poets,Joan Adeney Easdale,,,Poetry,English,,1931
A Garden Revisited and Other Poems,,6270.jpg,"dust jacket of ""A Garden Revisited and Other Poems""",E.J. Pratt Library,Penguin Random House Archive and Library,Hogarth Living Poets,John Lehmann,,,Poetry,English,,1931
Fifty Poems,,6292.jpg,"dust jacket of ""Fifty Poems""",E.J. Pratt Library,Penguin Random House Archive and Library,Hogarth Living Poets,Lord Derwent,,,Poetry,English,,1931
Cambridge Women's Verse,,6284.jpg,"dust jacket of ""Cambridge Women's Verse""",E.J. Pratt Library,Penguin Random House Archive and Library,Hogarth Living Poets,,Margaret Thomas,,Poetry,English,,1931
From Feathers to Iron,,,,,,Hogarth Living Poets,Cecil Day-Lewis,,,Poetry,English,,1931
Sissinghurst,,Sissinghurst_001.tif,"front cover of ""Sissinghurst"" ",Bruce Peel Library,Penguin Random House Archive and Library,Hogarth Living Poets,Vita Sackville-West,,,Poetry,English,,1931
Poetry in France and England,,6430.jpg,"dust jacket of ""Poetry in France and England""",E.J. Pratt Library,Penguin Random House Archive and Library,Hogarth Lectures on Literature,Jean Stewart,,,Literary Criticism,English,,1931
Poems,,6353.jpg,"front cover of ""Poems""",E.J. Pratt Library,Penguin Random House Archive and Library,Lytton Strachey's only published work with the Hogarth Press is the introduction to this volume of poems by George Rylands.,George Rylands,,,Poetry,English,,1931
Sado,,6315.jpg,"John Armstrong, dust jacket of ""Sado""",E.J. Pratt Library,"Bridgeman Artists' Copyright Service, London or New York","A novel about Japanese- British relations, Sado was not a good seller and lost money.",William Plomer,,,Novel,English,,1931
All Passion Spent,,passionsent_002_front.jpg,"Vanessa Bell, dust jacket of ""All Passion Spent""",Bruce Peel Library,Henrietta Garnett,"The story of a life of a woman with artistic aspirations who instead becomes the wife of a statesman and mother of six children. When she is widowed, she takes up an unconventional life in Hampstead and meets an old fame.",Vita Sackville-West,,,Novel,English,,1931
The Village in the Jungle,,,,,,A novel based on Woolf's work in the civil service in Sri Lanka.,Leonard Woolf,,,Novel,English,,1931
The Waves,,waves_002_front.jpg,"Vanessa Bell, dust jacket of ""The Waves""",Bruce Peel Library,Henrietta Garnett,,Virginia Woolf,,,Novel,English,,1931
The Trap,,6296.jpg,"dust jacket of ""The Trap""",E.J. Pratt Library,Penguin Random House Archive and Library,"The story of a young man's return to London from a trek across Siberia. He ""had been imprisoned in terrible Tsarist prisons, and had been smuggled out of Russia into Austria by a peasant who carried him on his back through foods across the frontier"" and finds himself eventually in England.",Allen Havens,,,Novel,English,,1931
The Sensitive One,,6297.jpg,"Richard Kennedy, dust jacket of ""The Sensitive One""",E.J. Pratt Library,"Rachel Ansari, John Kennedy and Elizabeth Stacey",Another detective novel by Kitchin.,C. H. B. Kitchin,,,Novel,English,,1931
The Horrors of the Countryside,,TheHorrorsOfTheCountryside_001.tif,"front cover of ""The Horrors of the Countryside"" ",Bruce Peel Library,Penguin Random House Archive and Library,"A diatribe against country life: 'It is generally believed that the English countryside is very beautiful. The home counties in particular are held in which its attractiveness resides and which confer upon it its peculiar charm. These include farm houses, country lanes, village streets, thatched cottage, babbling brooks, water meadows, wayside flowers, coppices in spring, woods in autumn, and a general mildness of atmosphere, wetness of the weather and to the gentle contours of the land.' (7)",C. E. M. Joad,,,Travel Writing,English,,1931
Letter to a Sister,,ALetterToASister_001.tif,"John Banting, front cover of ""Letter to a Sister"" ",Bruce Peel Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London",Hogarth Letters,Rosamond Lehmann,,,Letters,English,,1931
A Letter to Madan Blanchard,,,,,,Hogarth Letters,E. M. Forster,,,Letters,English,,1931
A Last Chance in Keyna,,,,,,"A follow-up study to Kenya, below, this book charts the development in the domestic and foreign affairs producing serious problems in Africa.",Norman Leys,,,History,English,,1931
Walking Shadows: An Essay on Lotte Reiniger's Silhouette Films,,6451.jpg,"Lotte Reiniger, front cover of ""Walking Shadows: An Essay on Lotte Reiniger's Silhouette Films""",E.J. Pratt Library,,"This book was expanded from a lecture given at the Newport Film Society in 1930. White discusses the processes by which Reiniger created her ""trick"" or ""silhouette"" films by making puppets out of black paper and giving them jointed hinges for their limbs. There are photographic illustration plates of the puppets and stills from the films.",Eric Walter White,,,Literary Criticism,English,,1931
English Village Schools,,6406.jpg,"Richard Kennedy, dust jacket of ""English Village Schools""",E.J. Pratt Library,"Rachel Ansari, John Kennedy and Elizabeth Stacey","A survey of English Village Schools with the aim to shatter middle class illusions that education is in a good way and that young people of the contemporary generation are better off than their forebears. Wise describes the schools by using three areas of investigation: Conditions, What is Taught, Outside Influences and comes to the conclusion that many schools are in an almost irreparable state.",Marjorie Wise,,,Education,English,,1931
"Three Plays: Sula, Fand, The Pearl-Tree",,6339.jpg,"front cover of ""Three Plays: Sula, Fand, The Pearl-Tree""",E.J. Pratt Library,Penguin Random House Archive and Library,"A collection containing the plays Sulla, Fand and The Pearl-Tree.",R. C. Trevelyan,,,Drama,English,,1931
After the Deluge: A Study in Communal Psychology,,6464.jpg,"dust jacket of ""After the Deluge: A Study in Communal Psychology""",E.J. Pratt Library,Penguin Random House Archive and Library,"Subtitled ""a study in communal psychology"", this book is a much more thorough and detailed study than Woolf's other political pamphlets. Woolf had worked on the book, which was intended to be a kind of scientific history, for over ten years, and Virginia records her disappointment in its lack of publicity and attention in her diary.",Leonard Woolf,,,Politics,English,,1931
The Race Problem in Africa,,,,,,Merttens Lecture,Charles Roden Buxton,,,Politics,English,,1931
Life as We Have Known it By Co-Operative Working Women,,,,,,"A collection of autobiographies by working women, this volume is now most well known for Virginia Woolf's ambivalent introduction, which has been criticized as an indication of her snobbery and class-consciousness. Several unsold sheets were eventually sold to the Women's Co-Operative Guild who had an interest in the publication from the outset.",,Margaret Llewelyn Davies,,Autobiography,English,,1931
Saturday Night at the Greyhound,,saturdaynight_002_front.jpg,"Trekkie Parsons, dust jacket of ""Saturday Night at the Greyhound""",Bruce Peel Library,Penguin Random House Archive and Library,"A somewhat grim story of a family working as publicans in Birmingham and Derbyshire. The working-class author had been rejected from Jonathan Cape for the same book, but it became one of the Press's top sellers (Southworth 220).",John Hampson,,,Novel,English,,1931
Ritual Psycho-Analytic Studies,,6249.jpg,"dust jacket of ""Ritual Psycho-Analytic Studies""",E.J. Pratt Library,Penguin Random House Archive and Library,Psycho-Analytic Library,Theodor Reik,,,Psychoanalysis,German,,1931
On the Nightmare,,6425.jpg,"dust jacket of ""On the Nightmare""",E.J. Pratt Library,Penguin Random House Archive and Library,Psycho-Analytic Library,Ernest Jones,,,Psychoanalysis,German,,1931
Duineser Elegien Elegies from the Castle of Duino,,,,,,Trans. V. Sackville- West and Edward Sackville-West,Rainer Maria Rilke,,,Poetry,German,,1931
The Mugwumps and the Labour Party,,6277.jpg,"Richard Kennedy, dust jacket of ""The Mugwumps and the Labour Party""",E.J. Pratt Library,"Rachel Ansari, John Kennedy and Elizabeth Stacey","A discussion of ""mugwumps"" who were a group of pacifists who became Labour Party supporters after WWI",G. T. Garratt,,,Travel Writing,English,,1932
The Defeat of Baudelaire A Psycho-Analytical Study of the Neuroses of Charles Baudelaire,,,,,,"The need to deify human genius has always existed. It is easy to understand how, in the hearts of many people, the poet has succeeded in replacing the sacred oracles of the ancient gods ' how, in other terms, the religious spirit in the course of its evolution has finished by placing the poet among the saints. But there is more to it than this.' (x)",Rene Laforgue,,,Psychoanalysis,English,,1932
The Psychoanalysis of Children,,,,,,Psycho-Analytic Library,Melanie Klein,,,Psychoanalysis,English,,1932
Psycho-Analysis of Neuroses,,6234.jpg,"dust jacket of ""Psycho-Analysis of Neuroses""",E.J. Pratt Library,Penguin Random House Archive and Library,Psycho-Analytic Library,Helene Deutsch,,,Psychoanalysis,English,,1932
Russian Notes,,6254.jpg,"front cover of ""Russian Notes""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,C. M. Lloyd,,,Politics,English,,1932
India in Transition,,,,,,A discussion of India's relationship to Empire and of the changes both political and social it was experiencing in the early 1930s.,Graham D. Pole,,,Politics,English,,1932
On Marxism To-Day,,OnMarxismToday_001.tif,"front cover of ""On Marxism To-Day"" ",Bruce Peel Library,Penguin Random House Archive and Library,"It is usual for the Englishman, with the bluff common sense of a 'nation of shopkeepers' to hold philosophies and broad generalizations in contempt. The tradition of our thought is empiricist. The pride of our thinkers is to be practical, to turn paradox into the obvious and to translate the mysteries of the universe into the language of the best-seller. The skepticism of Hume strikes us as eminently urbane and reasonable contrasted with the stupendous dogmatism of Hegel; and we prefer even to be frankly inconsistent if consistency means a striving after architectonic 'systems' of thought in the manner of classic German philosophy.' (7)",Maurice Dobb,,,Politics,English,,1932
Disarmament: A Discussion,,6404.jpg,"dust jacket of ""Disarmament: A Discussion""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Arthur Posonby,,,Politics,English,,1932
From Capitalism to Socialism,,FromCapitalismToSocialism_001.tif,"front cover of ""From Capitalism to Socialism"" ",Bruce Peel Library,Penguin Random House Archive and Library,Day to Day Pamphlets,John A. Hobson,,,Politics,English,,1932
The Crisis and the Constitution: 1931 and After,,TheCrisisAndTheConstitution1931AndAfter_001.tif,"front cover of ""The Crisis and the Constitution: 1931 and After"" ",Bruce Peel Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Harold J. Laski,,,Politics,English,,1932
Rimeless Numbers,,6340.jpg,"front cover of ""Rimeless Numbers""",E.J. Pratt Library,Penguin Random House Archive and Library,,R. C. Trevelyan,,,Poetry,English,,1932
New Signatures: Poems by Several Hands,,,,,,The New Signatures movement proposed an engagement of literature with politics very much in the style that John Lehmann advocated and that the poets of the 1930s such as Auden and Spender also practiced. This collection of new voices emphasizes the positive link between socialist propaganda and literature.,Michael Roberts,,,Poetry,English,,1932
Clemence and Clare,,6319.jpg,"dust jacket of ""Clemence and Clare""",E.J. Prett Library,Penguin Random House Archive and Library,Hogarth Living Poets,Joan Adeney Easdale,,,Poetry,English,,1932
The Fivefold Screen,,,,,,"A further collection of Plomer's poems, continuing his long relationship with the Press.",William Plomer,,,Poetry,English,,1932
Jupiter and the Nun,,JupiterAndTheNun_001.tif,"front cover of ""Jupiter and the Nun"" ",Bruce Peel Library,Penguin Random House Archive and Library,"A limited, signed edition of strange poems.",Dorothy Wellesley,,,Poetry,English,,1932
The Memorial: Portrait of a Family,,6294.jpg,"John Banting, dust jacket of ""The Memorial: Portrait of a Family""",E.J. Pratt Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London","The story of a mother-son conflict, this is the first of Isherwood's novels to be published with the Press and the second to be published after his first was a bit of a flop at Jonathan Cape. The success of this novel paved the way for Isherwood's increasing prominence through the 1930s.",Christopher Isherwood,,,Novel,English,,1932
O Providence,,6295.jpg,"John Armstrong, dust jacket of ""O Providence""",E.J. Pratt Library,"Bridgeman Artists' Copyright Service, London or New York","A second novel by John Hampson to be published by the Press, this one was less of a success. It focused on the youth and awakening to homosexuality of its protagonist.",John Hampson,,,Novel,English,,1932
Family History,,familyhistory_002_front.jpg,"George Plank, dust jacket of ""Family History""",Bruce Peel Library,,Another of Sackville-West's charming Middlebrow bestsellers.,Vita Sackville-West,,,Novel,English,,1932
Cheerful Weather for the Wedding,,4408.jpg,"Duncan Grant, dust jacket of ""Cheerful Weather for the Wedding""",E.J. Pratt Library,"Copyright Licensing, DACS","A satirical novel about preparations for a family wedding. Physical descriptions are a particular indication of the satire: ""Tom was fair and pleasant to look at, but at present his blue-china eyes were bulging out of his head like a bull-frog's""",Julia Strachey,,,Novel,English,,1932
The Case is Altered,,casealtered__002_front.jpg,"John Banting, dust jacket of ""The Case is Altered""",Bruce Peel Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London",Another detective novel. A cheap edition was issued as part of the Hogarth Crown Library.,William Plomer,,,Novel,English,,1932
Ten Letter-Writers,,tenwriters__002_front.jpg,"dust jacket of ""Ten Letter-Writers""",Bruce Peel Library,Penguin Random House Archive and Library,"This collection contains historical essays about letter-writing as a social practice and as a literary form, and extensive quotation from the writers on whom the volume focuses. There is a particular interest in the practices of female letter- writers. The writers in the volume include Walpole, Mme du Deffand, Mermee, Dorothy Osborne, Mme de Sevigne, Cowper, Lady Bessborough, Mrs.Carlyle, Swift and Lamb. This volume was included in the 1938 Catalogue under 'Biography, Memoirs, etc.' since there was no separate category for letters and diaries.",Lyn Irvine,,,Letters,English,,1932
A Letter to the Archbishop,,6237.jpg,"John Banting, dust jacket of ""A Letter to the Archbishop""",E.J. Pratt Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London",Hogarth Letters,J. C. Hardwick,,,Letters,English,,1932
A Letter to Adolf Hitler,,6243.jpg,"John Banting, dust jacket of ""A Letter to Adolf Hitler""",E.J. Pratt Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London",Hogarth Letters,Louis Golding,,,Letters,English,,1932
A Letter from a Black Sheep,,,,,,Hogarth Letters,Francis Birrell,,,Letters,English,,1932
The French Pictures,,,,,,Hogarth Letters,Raymond Mortimer,,,Literary Criticism,English,,1932
The Common Reader Second Series,,commonreader2nd_002_front.jpg,"Vanessa Bell, dust jacket of ""The Common Reader Second Series""",Bruce Peel Library,Henrietta Garnett,,Virginia Woolf,,,Literary Criticism,English,,1932
Public Schools: Their Failure and Their Reform,,6268.jpg,"Richard Kennedy, dust jacket of ""Public Schools: Their Failure and Their Reform""",E.J. Pratt Library,"Rachel Ansari, John Kennedy and Elizabeth Stacey",An indictment of the public school system that can be seen as a counterpoint to the indictment of the countryside schools by Wise. L. B. Pekin is a pseudonym for Reginald Snell.,L. B. Pekin,,,Education,English,,1932
Modern Art and Revolution,,6273.jpg,"dust jacket of ""Modern Art and Revolution""",E.J. Pratt Library,Penguin Random House Archive and Library,"In his attempt to trace the adaptation of taste to the development of modern art, Sadler makes the somewhat predictable argument that the young appreciate revolution in art whereas the old are afraid of it. Political and social ferments at work of nationalism, functionalism, and the comparison of cultures, which are creating an immense change in the wider social reaction to artistic production.",Michael Sadler,,,Art and Art Criticism,English,,1932
The New Boer War,,,,,,A discussion of civil disorder in South Africa.,Leonard Barnes,,,Politics,English,,1932
St. Martin's Summer,,,,,,A first novel by the eminent biographer. A love story about a middle-aged woman set against a backdrop of Anglo-Egyptian relations.,Bonamy Dobree,,,Novel,English,,1932
Soviet Education,,6433.jpg,"front cover of ""Soviet Education""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,R. D. Charques,,,Education,English,,1932
If We Want Peace,,6414.jpg,"dust jacket of ""If We Want Peace""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Henry Noel Brailsford,,,Politics,English,,1932
A Letter to W. B. Yeats,,,,,,Hogarth Letters,L. A. G. Strong,,,Literary Criticism,English,,1932
A Letter to a Young Poet,,ALettertoaYoungPoet_001.tif,"John Banting, front cover of ""A Letter to a Young Poet"" ",Bruce Peel Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London",Hogarth Letters,Virginia Woolf,,,Literary Criticism,English,,1932
A Letter to A Modern Novelist,,,,,,Hogarth Letters,Hugh Walpole,,,Literary Criticism,English,,1932
A Letter to Mrs. Virginia Woolf,,,,,,Hogarth Letters,Peter Quennell,,,Literary Criticism,English,,1932
The Myth of Governor Eyre,,6248.jpg,"Richard Kennedy, dust jacket of ""The Myth of Governor Eyre""",E.J. Pratt Library,"Rachel Ansari, John Kennedy and Elizabeth Stacey","A volume roundly denouncing the good reputation of a career diplomat who had served in Jamaica, New Zealand and Africa among other places.",Lord Olivier,,,Politics,English,,1933
The Case for West-Indian Self Government,,6271.jpg,"front cover of ""The Case for West-Indian Self Government""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,C. L. R. James,,,Politics,English,,1933
Caste and Democracy,,6272.jpg,"dust jacket of ""Caste and Democracy""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,K. M. Panikkar,,,Politics,English,,1933
How the World is Governed A Study in World Civics,,6263.jpg,"front cover of ""How the World is Governed A Study in World Civics""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Hebe Spaull,,,Politics,English,,1933
The Spanish Constitution,,6265.jpg,"front cover of ""The Spanish Constitution""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,H. R. G. Greaves,,,Politics,English,,1933
The Political and Social Doctrine of Fascism,,6239.jpg,"front cover of ""The Political and Social Doctrine of Fascism""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Benito Mussolini,,,Politics,English,,1933
